Application ID,Name,Alias Name,Description,Owned by,Delegate,Active,Status,Criticality Tier,Data classification,Access Revalidation Frequency,Access Revalidation Last Performed,Access Review N/A,ASCA Certified,Business Unit,CI Flag,Cost center,Data Privacy,IBM & RH Fin Sig,Link to Access Revalidation Documentation,Next Access Revalidation Review Date,Privacy (PIA) assessment URL,RH High Risk,RH SOC2,RWI,SOA Applicable,SOA Approval Date,SOA Approver,SOA Expiration Date,Security (ESS) assessment URL,Service Impact Analysis (SIA) URL,Application type,Architecture type,Architecture type.1,Cloud Account ID,OwnedBy Department
001-034,nm-mlops,,"The application will be utilized by the Red Hat AI team to support model optimization and algorithmic research, including quantization and pruning. The network connectivity between GCP and IBM Cloud is essential to allow us to expand to the A100 GPU cloud resources in IBM.
A100 GPUs are essential to efficiently quantize large-scale LLMs and Mixture of Experts (MoEs) models with hundreds of billions of parameters, ensuring feasible runtimes for these computationally intensive tasks.",Alexandre Marques,Chibu Ukachi,True,Implementing,C2,RH-Restricted(+PII),Annually,,False,False,,,,a253ddc33b5ca210fdf1bd8c24e45a83,False,,,,False,False,False,False,,,,,,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
3SCA-001,3scale SaaS,,"Application programming interfaces (APIs) are key to agile integration and delivering business value in a digital world. Support innovation, enable cross-enterprise agility, and create new products and revenue streams.

Red Hat® 3scale API Management makes it easy to manage your APIs. Share, secure, distribute, control, and monetize your APIs on an infrastructure platform built for performance, customer control, and future growth. Place 3scale components on-premise, in the cloud, or on any combination of the two.",Sajeel Irkal,Rael Garcia Arnes,True,In Production,C1,,Annually,,False,False,,,,3b5f982547e4a21cb45f42fc416d43a0,False,,,,False,False,True,False,,,,,,Custom,,,,
AISR-001,AI assisted Supportability Review,XE/DX,AI assisted Supportability Review is an application to generate recommendations from TSR reports using AI.,Pranita Ghole,Saurav Chandra,True,Implementing,C3,RH-Restricted(+PII),Annually,,False,False,,,,cf18428e939d3290f631f8d8b903d619,False,,,,False,False,False,False,,,,,,Custom,,,,
AOC-001,GitHub Action: Easy Button,,"GitHub action that coordinates the creation of production assets for Ansible Automation Platform on AWS

AWS Application URL: https://github.com/ansible/aap-gcpdm-standalone/blob/main/.github/workflows/easy.yml
GCP Application URL: https://github.com/ansible/aap-gcpdm-standalone/blob/main/.github/workflows/easy.yml",Nathan Weatherly,Iftikhar Khan,True,In Production,C4,RH-Restricted(+PII),Annually,,False,False,,,,8620bdfa97225dd4d658b82bf253af63,False,,,https://redhat.service-now.com/asmt_assessment_instance.do?sys_id=78474207972251d0f5d07c7e6253afca&sysparm_record_target=asmt_assessment_instance&sysparm_record_row=2&sysparm_record_rows=3&sysparm_record_list=metric_type%3Dea4c7235db9f30d0b1c027374896196c%5EuserDYNAMIC90d1921e5f510100a9ad2572f2b477fe%5EstateINready%2Cwip%2Ccomplete%5EORDERBYstate,False,False,False,True,2025-03-31,Stephen Siravo,2027-03-31,,https://redhat-fusion.force.com/portal/s/application/a035Y00000ffcPq,Product Pipeline,"External (INTRANET facing), target audience RH Associates (FTEs/Contractors)","External (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,
ARR-002,RHEL Gating (Legacy),,"Services comprising RHEL gating prior to the introduction of the replacement RHEL on GitLab (ROG-001).  This entry unifies the originally separate CMDB entries as a single appcode for ""legacy"" RHEL gating:

ARR-002 - Errata Tool Automation (we consolidated under this CMDB entry)
ARR-004 - OSCI Pipelines
ARR-006 - Gating Bot
ARR-007 - OSCI Jenkins
ARR-011 - artifacts.osci.redhat.com
DIST-011 - distrobaker
DIST-013 - distrolibrium

Over time we will gradually decommission these systems as they become obsolete before eventually retiring ARR-002 completely.

-----------------------------------------------------------
Original description prior to 8th January 2026:

https://gitlab.cee.redhat.com/osci/errata-automation/
Errata tool automation is a service managed by OSCI to help automate the creation of errata for developers once their builds pass gating

2025 SOAR: https://issues.redhat.com/browse/SOAR-3541",Chris Kelley,Michal Fabik,True,In Production,C3,RH-Restricted(+PII),Annually,,False,False,,,,8fd1e3ea877fb8d0892464250cbb354b,False,,,PID00104934,False,False,False,True,2026-01-26,Katie Mulliken,2026-07-30,,https://redhat-fusion.force.com/portal/s/application/a035Y00000QcTYI,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
ASRE-005,vault.devshift.net,,AppSRE's vault instance,Aaron Weitekamp,Guillaume Pont,True,In Production,C1,,Annually,2023-07-14,False,False,,,,44d201fedbc30110c31ec7a605961921,False,https://docs.google.com/spreadsheets/d/1Mw4U7WRlex_96UR8uH5h3qdNuqjTIX7majIL4PiillQ/edit#gid=0,2024-07-14,,False,False,True,True,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000WhTSE,SaaS,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
ASSH-001,Konflux Self Hosted Infrastructure (staging and production),,"Konflux Self Hosted Infrastructure, used for the Staging and Production environment.",Gal Ben Haim,Hugo Ares,True,In Production,C2,RH-Restricted(+PII),Annually,,False,False,,,,f25df05c1b7e4d104cec766dcc4bcbf6,False,,,https://source.redhat.com/departments/it/it-information-security/data_privacy/data_privacy_wiki/app_studio_privacy_impact_assessment_recommendations,False,False,False,True,2024-03-21,Joe Tinkham,2026-03-12,https://redhat.service-now.com/nav_to.do?uri=/cmdb_ci_business_app.do%3Fsys_id%3Df65df05c1b7e4d104cec766dcc4bcbf5%26sysparm_record_target%3Dcmdb_ci_business_app%26sysparm_record_row%3D1%26sysparm_record_rows%3D1%26sysparm_record_list%3DnameSTARTSWITHapp%2Bstudio%5EORDERBYname,https://redhat-fusion.force.com/portal/s/application/a035Y00000Wh7iL,Product Pipeline,,,,
ATD-001,Attachment Diagnostics,XE/DX,It is an attachment diagnostics service and MCP server which helps diagnose issue of attachments from users.,Pranita Ghole,Saurav Chandra,True,Implementing,C4,RH-Restricted(+PII),Annually,,False,False,,,,769e8e302be0f6d0a827f3a3d891bf88,False,,,,False,False,False,False,,,,,,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
ATLS-004,Jira Service Management Cloud,,Atlassian's Cloud service management application.,Jay Greguske,Abby Domanowski,True,Implementing,C4,RH-Restricted(+PII),Annually,,False,False,,,,f64bc0dc3b1922902800053a85e45aef,False,,,https://redhat.service-now.com/nav_to.do?uri=asmt_assessment_instance.do?sys_id=487c4c2c47d9a29092493ccc416d430a%26sysparm_view=pia,False,False,False,False,,,,https://redhat.service-now.com/nav_to.do?uri=cmdb_ci_business_app.do?sys_id=b24bc0dc3b1922902800053a85e45aef%26sysparm_view=pia,,SaaS,,,,
ATLS-005,Atlassian Guard,,"Atlassian's tools for user management, user security, data loss prevention, and threat detection",Jay Greguske,Abby Domanowski,True,Implementing,C1,RH-Restricted(+PII),Annually,,False,False,,,,23cc40103b9922902800053a85e45a75,False,,,,False,False,False,False,,,,https://redhat.service-now.com/nav_to.do?uri=cmdb_ci_business_app.do?sys_id=ebcc40103b9922902800053a85e45a74%26sysparm_view=pia,,SaaS,,,,
ATLS-006,Atlassian Rovo,,"Atlassian's AI-powered search, chat, studio and agents–driven by Red Hat teams' knowledge",Jay Greguske,Abby Domanowski,True,Implementing,C4,RH-Restricted(+PII),Annually,,False,False,,,,64ed40103bd922902800053a85e45ade,False,,,https://redhat.service-now.com/nav_to.do?uri=asmt_assessment_instance.do?sys_id=a07c802c2b956e506cbcf8fddd91bf99,False,False,False,False,,,,https://redhat.service-now.com/nav_to.do?uri=cmdb_ci_business_app.do?sys_id=20ed40103bd922902800053a85e45ade%26sysparm_view=pia,,SaaS,"External (INTERNET facing) Web Application, target audience RH Customers",,,
ATRO-001,ATROPOS,,"ATROPOS - Automated Triaging, Reasoning, and Operations POlicy System",David Sariel,Adrian Fusco Arnejo,True,Implementing,C1,,Annually,,False,False,,,,8857625a1be086101fbd64e9bc4bcbc4,False,,,,False,False,True,True,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000t9R6d,Product Pipeline,,,,
CLA-001,Command Line Assistant,,"The RHEL Lightspeed command line assistant can help customers with various tasks, including finding relevant RHEL KCS/documentation, helping with troubleshooting issues, assisting with understanding log entries, helping customers implement new RHEL features, etc.  In addition, the command line assistant will provide customers a natural language interface to RHEL, making it easier to work with RHEL.",Eleana Panayiotou,Major Hayden,True,Implementing,C2,RH-Restricted(+PII),Annually,,False,False,,,,9b88e17093e692107df0bfbd1dba107e,False,,,https://redhat.service-now.com/nav_to.do?uri=asmt_assessment_instance.do?sys_id=03489f3293b6de547df0bfbd1dba105a,False,False,False,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000qdUO5,Custom,Non-Web Application / Service (regardless of user base and intranet/internet facing),,,
COH-001,Certification Operations Hub,XE/DX,An internal application used by Certification Operations team for auditing the requests for certifying partner hardware or software solutions.,Sushilkumar Deshmukh,Sumit Ridhal,True,In Production,C3,RH-Restricted(+PII),Annually,2023-07-15,False,False,,,,75f56c1adba8f410c4db45e81396198c,False,https://docs.google.com/spreadsheets/d/1fVOv3Bq83mSsI4TsGr9gaLdI0yo8i3cmsS_ZeMZMI1o/edit#gid=1011640302,2024-07-15,https://source.redhat.com/departments/it/it-information-security/wiki/privacy_impact_assessment_pia_and_data_protection_impact_assessment_dpia_process#jive_content_id_SelfAssessment,False,False,False,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000QcTjk,Custom,,,,
CPHP-001,Customer Portal Homepage,XE/DX,Homepage server side application of access.redhat.com,Tyler Martin,Chase Gatyas,True,In Production,C1,RH-Public,Annually,,False,False,,,,46eb0c0987258a14a92b4156cebb35ed,False,,,,False,False,True,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000t9odN,Custom,"Platform (e.g., Openshift Platform, Managed Platform (MP), MP+)",,,
CPKB-001,Access.redhat.com Drupal Kbase,XE/DX,"Customer Portal (access.redhat.com ) Kbase Drupal Site
https://access.redhat.com/articles
https://access.redhat.com/solutions",Travis McTighe,Edward Chan,True,Implementing,C1,RH-Restricted(+PII),Semi-annually,,False,False,,,,b667e6bedb6fdd14c31ec7a60596195c,False,,,https://redhat.service-now.com/help?id=rh_survey_detail&sys_id=3c830d1a97bde510d658b82bf253afb2,False,False,True,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000gu3cA,Custom,"Platform (e.g., Openshift Platform, Managed Platform (MP), MP+)",,,
CPKB-002,Customer Portal Knowledgebase  Front End,XE/DX,The node.js Nuxt application for Knowledgebase on access.redhat.com,Tyler Martin,Rob Lahoda,True,In Production,C1,RH-Public,Annually,,False,False,,,,405a7e9433c65e503f9b1c1ace5c7bb7,False,,,,False,False,True,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000qdSwQ,Custom,,,,
CPKB-003,Customer Portal KBase Salesforce-Drupal Middleware,,A Node.js application that acts as the middleware between Salesforce and the new Drupal 10 Customer Portal KBase - processing publishing events from Salesforce and syncing data into the Drupal 10 KBase instance.,Travis McTighe,Edward Chan,True,Implementing,C1,RH-Internal,Annually,,False,False,,,,a63249eb3b88fe50aa748c9c24e45ad3,False,,,,False,False,True,False,,,,,,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
CPPG-001,Customer Portal Private Groups,XE/DX,"Customer Portal Private Groups - https://access.redhat.com/groups
A web application to support TAM interactions with their customers.  Announcements, discussions, and email notifications for direct and non-public communication with customers.
Run by the CPCORE team - https://issues.redhat.com/projects/CPCORE/summary",Travis McTighe,April Sides,True,In Production,C1,RH-Restricted(+PII),Annually,,False,False,,,,78a8eadb1bf586504cec766dcc4bcb1b,False,,,,False,False,True,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000qdEXt,Custom,,,,
CSRE-001,Glitchtip,,"Glitchtip is an error-tracking software tool, similar to Sentry. Currently, its going through ESS. We also require a Gmail account for this service. It's currently located in app-interface here https://gitlab.cee.redhat.com/service/app-interface/-/tree/master/docs/glitchtip",Aaron Weitekamp,Guillaume Pont,True,Implementing,C1,,Annually,,False,False,,,,3fcfdc4597f29950f5d07c7e6253af70,False,,,https://redhat.service-now.com/help?id=survey_detail&instance_id=f25e2e191b721954c553fe28dc4bcbc5,False,False,True,False,,,,https://redhat.service-now.com/help?id=rh_ticket&table=incident&sys_id=7e8d171597029110f5d07c7e6253af03,https://redhat-fusion.force.com/portal/s/application/a035Y00000ffhcb,Custom,"Internal (INTRANET facing), target audience RH Associates (FTEs/Contractors)",,,
DATG-001,datagrepper,EXD/SP,Convenient service providing a UI and API which expose the history of the UMB.,Mike Bonnet,Mike Bonnet,True,In Production,C3,RH-Restricted(+PII),Annually,,False,False,,,,8ef5ac1adba8f410c4db45e813961913,False,,,https://drive.google.com/file/d/1bcaO2hhzW_xa5jQjyDxsO4iAsNx9hlKf/view?usp=sharing,False,False,False,False,,,,,https://redhat-fusion.force.com/portal/s/application/a035Y00000QcTNd,Custom,,,,
